t,mag
583.606,1.002
583.626,1.003
583.646,1.003
583.666,1.005
583.686,0.999
583.706,1.003
583.726,1.001
583.746,1.009
583.766,1.000
583.786,1.003
583.806,1.006
583.826,1.003
583.846,1.004
583.866,1.004
583.886,1.004
583.906,1.000
583.926,1.005
583.946,1.003
583.966,1.004
583.986,1.002
584.006,1.004
584.026,1.003
584.046,1.004
584.066,1.006
584.086,1.006
584.106,1.004
584.126,1.004
584.146,1.002
584.166,1.005
584.186,1.004
584.206,1.003
584.226,1.005
584.246,1.002
584.266,1.000
584.286,1.003
584.306,1.004
584.326,1.005
584.346,1.004
584.366,1.006
584.386,1.002
584.406,1.006
584.426,1.004
584.446,1.003
584.466,1.003
584.486,1.003
584.506,1.002
584.526,1.005
584.546,1.003
584.566,1.002
584.586,1.005
584.606,1.002
584.626,1.007
584.646,1.002
584.666,1.006
584.686,1.003
584.706,1.005
584.726,1.001
584.746,1.003
584.766,1.009
584.786,0.780
584.806,1.057
584.826,0.986
584.846,1.037
584.866,1.000
584.886,1.108
584.906,1.061
584.926,0.982
584.946,1.042
584.966,0.985
584.986,0.986
585.006,1.042
585.026,0.992
585.046,0.990
585.066,1.019
585.086,0.978
585.106,1.043
585.126,0.980
585.146,0.986
585.166,0.981
585.186,1.006
585.206,0.998
585.226,1.058
585.246,0.948
585.266,1.030
585.286,0.962
585.306,1.120
585.326,0.927
585.346,1.062
585.366,0.979
585.386,1.038
585.406,0.992
585.426,1.021
585.446,0.994
585.466,1.007
585.486,0.991
585.506,1.015
585.526,0.985
585.546,1.005
585.566,1.000
585.586,1.001
585.606,1.010
585.626,0.992
585.646,1.009
585.666,1.001
585.686,1.005
585.706,1.000
585.726,0.998
585.746,1.000
585.766,0.998
585.786,1.009
585.806,1.003
585.826,1.003
585.846,1.007
585.866,1.004
585.886,1.006
585.906,1.001
585.926,1.002
585.946,1.004
585.966,1.003
585.986,1.001
586.006,1.007
586.026,1.005
586.046,1.004
586.066,1.003
586.086,1.008
586.106,1.003
586.126,1.003
586.146,0.999
586.166,1.005
586.186,1.002
586.206,1.004
586.226,1.001
586.246,1.004
586.266,1.001
586.286,1.003
586.306,1.004
586.326,1.004
586.346,1.002
586.366,1.002
586.386,1.002
586.406,1.001
586.426,1.006
586.446,1.006
586.466,1.006
586.486,1.002
586.506,1.006
586.526,1.004
586.546,1.004
586.566,1.001
586.586,1.004
586.606,1.001
586.626,1.002
586.646,1.000
586.666,1.004
586.686,1.004
586.706,1.004
586.726,1.005
586.746,1.003
586.766,1.003
586.786,1.001
586.806,1.005
586.826,1.003
586.846,1.005
586.866,1.002
586.886,1.004
586.906,1.002
586.926,1.005
586.946,1.001
586.966,1.008
586.986,1.003
587.006,1.003
587.026,1.003
587.046,1.001
587.066,1.002
587.086,1.002
587.106,1.005
587.126,1.003
587.146,1.004
587.166,1.001
587.186,1.003
587.206,1.001
587.226,1.005
587.246,1.002
587.266,1.006
587.286,1.004
587.306,1.006
587.326,1.004
587.346,1.005
587.366,1.002
587.386,1.002
587.406,1.005
587.426,1.004
587.446,1.004
587.466,1.005
587.486,1.005
587.506,1.001
587.526,1.003
587.546,1.001
587.566,1.003
587.586,1.004
587.606,1.005
587.626,1.002
587.646,1.006
587.666,1.005
587.686,1.003
587.706,1.000
587.726,0.999
587.746,1.002
587.766,1.006
587.786,1.002
587.806,1.004
587.826,1.005
587.846,1.002
587.866,1.002
587.886,1.005
587.906,1.005
587.926,1.001
587.946,1.001
587.966,1.005
587.986,1.006
588.006,1.003
588.026,1.004
588.046,1.004
588.066,1.002
588.086,1.003
588.106,1.003
588.126,1.004
588.146,1.002
588.166,1.004
588.186,1.001
588.206,1.004
588.226,1.005
588.246,1.004
588.266,1.003
588.286,1.003
588.306,1.004
588.326,1.004
588.346,1.004
588.366,1.004
588.386,1.005
588.406,1.004
588.426,1.007
588.446,1.003
588.466,1.004
588.486,1.000
588.506,1.006
588.526,1.002
588.546,1.004
